No.;Time     ;;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;;;
69;31.582.506;32;192.168.1.16;40.70.184.83;TCP;54;57544  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.582.506;32.224.259;641753;;26566;0;-26566;;;;;
70;32.224.259;32;fe80::7962:bd7e:4086:296;fe80::1;DNS;109;Standard query 0xe96d A v10.events.data.microsoft.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.224.259;32.236.307;12048;;0;0;0;;;;;
71;32.236.307;32;fe80::1;fe80::7962:bd7e:4086:296;DNS;538;Standard query response 0xe96d A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME skypedataprdcolneu04.cloudapp.net A 52.114.77.33 NS ns2-201.azure-dns.net NS ns1-201.azure-dns.com NS ns3-201.azure-dns.org NS ns4-201.azure-dns.info A 40.90.4.201 A 64.4.48.201 A 13.107.24.201 A 13.107.160.201 AAAA 2603:1061::c9 AAAA 2620:1ec:8ec::c9 AAAA 2a01:111:4000::c9 AAAA 2620:1ec:bda::c9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.236.307;32.258.410;22103;;0;926;926;;;;;
72;32.258.410;32;192.168.1.16;52.114.77.33;TCP;66;57559  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.258.410;32.450.340;191930;;926;574;-352;;;;;
73;32.450.340;32;52.114.77.33;192.168.1.16;TCP;66;443  >  57559 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.450.340;32.450.584;244;;574;57689;57115;;;;;
74;32.450.584;32;192.168.1.16;52.114.77.33;TCP;54;57559  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.450.584;32.451.939;1355;;57689;189497;131808;;;;;
75;32.451.939;32;192.168.1.16;52.114.77.33;TLSv1.2;262;Client Hello;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.451.939;32.781.187;329248;;189497;24302;-165195;;;;;
76;32.781.187;33;52.114.77.33;192.168.1.16;TCP;54;443  >  57559 [ACK] Seq=1 Ack=209 Win=262656 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.781.187;32.807.753;26566;;24302;0;-24302;;;;;
77;32.807.753;33;52.114.77.33;192.168.1.16;TCP;1506;443  >  57559 [ACK] Seq=1 Ack=209 Win=262656 Len=1452 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.807.753;32.807.753;0;;0;19675;19675;;;;;
78;32.807.753;33;52.114.77.33;192.168.1.16;TCP;1180;[TCP Previous segment not captured] 443  >  57559 [PSH, ACK] Seq=2905 Ack=209 Win=262656 Len=1126 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.807.753;32.807.753;0;;19675;21361;1686;;;;;
79;32.807.753;33;52.114.77.33;192.168.1.16;TCP;1506;[TCP Out-Of-Order] 443  >  57559 [ACK] Seq=1453 Ack=209 Win=262656 Len=1452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.807.753;32.808.679;926;;21361;2316;-19045;;;;;
80;32.808.679;33;192.168.1.16;52.114.77.33;TCP;66;57559  >  443 [ACK] Seq=209 Ack=1453 Win=66048 Len=0 SLE=2905 SRE=4031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.808.679;32.809.253;574;;2316;666;-1650;;;;;
81;32.809.253;33;192.168.1.16;52.114.77.33;TCP;54;57559  >  443 [ACK] Seq=209 Ack=4031 Win=66048 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.809.253;32.866.942;57689;;666;190006;189340;;;;;
82;32.866.942;33;192.168.1.16;52.114.77.33;TLSv1.2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.866.942;33.056.439;189497;;190006;27456;-162550;;;;;
83;33.056.439;33;192.168.1.16;117.18.232.215;TLSv1.3;571;Client Hello;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.056.439;33.080.741;24302;;27456;40209;12753;;;;;
84;33.080.741;33;117.18.232.215;192.168.1.16;TCP;54;443  >  57558 [ACK] Seq=1 Ack=518 Win=67072 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.080.741;33.080.741;0;;40209;37910;-2299;;;;;
85;33.080.741;33;117.18.232.215;192.168.1.16;TLSv1.3;153;Hello Retry Request, Change Cipher Spec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.080.741;33.100.416;19675;;37910;189836;151926;;;;;
86;33.100.416;33;52.114.77.33;192.168.1.16;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.100.416;33.121.777;21361;;189836;252;-189584;;;;;
